Sigla da IES,Nome da IES,Código do Curso,Nome do Curso,Grau,Qt. Vagas Autorizadas,Carga Horária,Tipo de Periodicidade,Integralização,Código do Endereço,Nome do Campus,Endereço,Número Endereço,Complemento,Bairro,Código do Município,Município,UF
FATEC SO,FACULDADE DE TECNOLOGIA DE SOROCABA,115662,PRODUÇÃO DE PLÁSTICOS,Tecnológico,80,2448,Semestral,,685780,Faculdade de Odontologia - FO,AVENIDA ENGENHEIRO CARLOS REINALDO MENDES,2.015,,ALTO DA BOA VISTA,3552205,Sorocaba,SP
UNICAMP,UNIVERSIDADE ESTADUAL DE CAMPINAS,60556,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Tecnológico,45,2400,Semestral,6,1052271,CAMPUS UNIVERSITÁRIO DE ARRAIAS - Unidade de Buritizinho,Rua Paschoal Marmo,1888,,Jardim Nova Itália,3526902,Limeira,SP
UFPE,UNIVERSIDADE FEDERAL DE PERNAMBUCO,313577,FILOSOFIA,Bacharelado,40,2910,Semestral,,1153,CAMPUS - CONCEIÇÃO DO MATO DENTRO - CENTRO,Av. Prof. Moraes Rego,1.235,,Cidade Universitária,2611606,Recife,PE
UFSCAR,UNIVERSIDADE FEDERAL DE SÃO CARLOS,1305952,TRADUÇÃO E INTERPRETAÇÃO EM LÍNGUA BRASILEIRA DE SINAIS - LIBRAS/LÍNGUA PORTUGUESA,Bacharelado,30,2940,Semestral,8,1006610,Campus Rebouças,Via Washington  Luis,Km 235,S/Nº,Monjolinho,3548906,São Carlos,SP
UEA,UNIVERSIDADE DO ESTADO DO AMAZONAS,416872,EDUCAÇÃO FÍSICA,Bacharelado,52,3365,Semestral,,1052075,Medeiros Neto,Rua Camilo Morato,-,Av. Coronel Luis Gomes,,,,
UFF,UNIVERSIDADE FEDERAL FLUMINENSE,12695,FARMÁCIA,Bacharelado,144,4577,Semestral,10,1098,Centro de Educação Superior da Foz do Itajai - CESFI Campus VI,Rua Mário Viana,523,,Santa Rosa,3303302,Niterói,RJ
UFOB,UNIVERSIDADE FEDERAL DO OESTE DA BAHIA,1292725,MEDICINA,Bacharelado,80,7480,Semestral,12,1066442,Escola Municipal Américo Vespúcio,Rua da Prainha,1326,,Morada Nobre,2903201,Barreiras,BA
IF Goiano,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,Campus de Maravilha,,,,,,,
UNIFAP,UNIVERSIDADE FEDERAL DO AMAPÁ,1267522,ENGENHARIA CIVIL,Bacharelado,50,4235,Semestral,,1006640,Faculdade de Educação - Campus Centro,Rodovia Juscelino Kubitschek,S/N,KM 2,Zerão,1600303,Macapá,AP
UFPI,UNIVERSIDADE FEDERAL DO PIAUÍ,1270649,EDUCAÇÃO DO CAMPO - CIÊNCIAS HUMANAS E SOCIAIS,Licenciatura,120,3200,Semestral,8,1002562,Núcleo de Ensino Superior da UEA em Canutama,Planalto Horizonte,S/N,,Centro,2201903,Bom Jesus,PI
UEA,UNIVERSIDADE DO ESTADO DO AMAZONAS,120572,GESTÃO AMBIENTAL,Tecnológico,52,2075,Semestral,,2272,Unidade Lages,Rua Castelo Branco,216,E.E.G.Buzaglo,Centro,1303304,Novo Aripuanã,AM
UFES,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,12821,SERVIÇO SOCIAL,Bacharelado,90,3030,Semestral,8,1072,Campus Avançado de Laranjeiras do Sul,Av. Fernando Ferrari,,,,,,
UFAL,UNIVERSIDADE FEDERAL DE ALAGOAS,31171,LETRAS - PORTUGUÊS,Licenciatura,60,3220,Semestral,,1036246,CAMPUS  - PEDRO II - CENTRO,Av. Lourival de Melo Mota,s/n,CAMPUS A. C. SIMÕES - Cidade Universitária,TABULEIRO DO MARTINS,2704302,Maceió,AL
USP,UNIVERSIDADE DE SÃO PAULO,91611,SISTEMAS DE INFORMAÇÃO,Bacharelado,180,3300,Semestral,,4255,CAMPUS CAPITÃO POÇO - UFRA,,,,,,,
UNIFAP,UNIVERSIDADE FEDERAL DO AMAPÁ,1267516,FISIOTERAPIA,Bacharelado,50,4545,Semestral,10,1006640,Unidade Universitária de Maracaju,Rodovia Juscelino Kubitschek,S/N,KM 2,Zerão,1600303,Macapá,AP
UFSC,UNIVERSIDADE FEDERAL DE SANTA CATARINA,35551,FARMÁCIA - ANÁLISES CLÍNICAS,Bacharelado,30,4070,Semestral,10,1005565,Centro Educacional Nilson Andrade Santos - CENAS,Campus Universitário,s/n,,Trindade,4205407,Florianópolis,SC
UNEMAT,Universidade do Estado de Mato Grosso Carlos Alberto Reyes Maldonado - UNEMAT,59659,COMPUTAÇÃO,Licenciatura,80,3080,Semestral,,687809,Escola Municiapal Nossa Senhora da Saúde,RUA SANTA RITA,148,,CENTRO,5100300,Alto Araguaia,MT
IFRS,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,CAMPUS - SÃO BERNARDO DO CAMPO - VILA BAETA NEVES,,,,,,,
UFRA,UNIVERSIDADE FEDERAL RURAL DA AMAZÔNIA,1306665,CIÊNCIAS BIOLÓGICAS,Bacharelado,100,4367,Semestral,,1033603,Centro de Cultura,Avenida Presidente Tancredo Neves,2501,,Terra Firme,1501402,Belém,PA
UFAM,UNIVERSIDADE FEDERAL DO AMAZONAS,1114583,CIÊNCIAS AGRÁRIAS E DO AMBIENTE,Bacharelado,50,2970,Semestral,8,361,Poeta Torquato Neto,Estrada 10 de Maio,s/nº,Campus Universitário,Colônia,1300607,Benjamin Constant,AM
UFS,UNIVERSIDADE FEDERAL DE SERGIPE,98609,FARMÁCIA,Bacharelado,80,4575,Semestral,,1006435,Campus Luis Eduardo Magalhaes,Avenida Marechal Rondon,s/n,,Jardim Rosa Elze,2806701,São Cristóvão,SE
UEMASUL,UNIVERSIDADE ESTADUAL DA REGIÃO TOCANTINA DO MARANHÃO,81754,CIÊNCIAS BIOLÓGICAS,Licenciatura,40,2800,Semestral,,1094894,Núcleo Universitário de Sena Madureira,,,,,,,
UFLA,UNIVERSIDADE FEDERAL DE LAVRAS,1262709,ENGENHARIA CIVIL,Bacharelado,100,4275,Semestral,10,1000100,CÂMPUS PALMEIRAS DE GOIÁS,Rua Prof. Edmir Sá Santos,S/N,,Campus Universitário,3138203,Lavras,MG
UFPEL,UNIVERSIDADE FEDERAL DE PELOTAS,101892,QUÍMICA,Licenciatura,33,3215,Semestral,8,1048526,UNIDADE  - BICAS - CENTRO,Campus Universitário,s/n,,-,4304663,Capão do Leão,RS
UEMA,UNIVERSIDADE ESTADUAL DO MARANHÃO,1212414,CIÊNCIAS - BIOLOGIA,Licenciatura,40,3375,Semestral,,1061518,Unidade Descentralizada de Itaguaí,Av. Edilson Carvalho Branco,s/n,,Goiabal,2108207,Pedreiras,MA
UNEB,UNIVERSIDADE DO ESTADO DA BAHIA,1187646,MEDICINA,Bacharelado,60,9260,Semestral,12,1046505,Campus Saúde,Rua Silveira Martins,2555,,Cabula,2927408,Salvador,BA
UVA,UNIVERSIDADE ESTADUAL VALE DO ACARAÚ,19493,QUÍMICA,Licenciatura,20,2940,Semestral,,697263,MARACÁS,AVENIDA DA UNIVERSIDADE,850,,BETÁNIA,2312908,Sobral,CE
UEMG,UNIVERSIDADE DO ESTADO DE MINAS GERAIS,69947,NORMAL  SUPERIOR,Licenciatura,50,3200,Semestral,,1041018,Escola de Educação Física e Esporte de Ribeirão Preto - EEFERP,Rua Padre Natuzzi,53,Casa 09,Centro,3110905,Campanha,MG
UESPI,UNIVERSIDADE ESTADUAL DO PIAUÍ,63455,EDUCAÇÃO FÍSICA,Licenciatura,40,3310,Semestral,,765,Núcleo de Dom Elizeu,BR 343,1281,,CAMPO VELHO,2203909,Floriano,PI
FURG,UNIVERSIDADE FEDERAL DO RIO GRANDE,1103531,QUÍMICA,Bacharelado,50,2735,Semestral,8,1045632,Campus de Resende,Avenida Itália,S/N,Km 8,Carreiros,4315602,Rio Grande,RS
UEM,UNIVERSIDADE ESTADUAL DE MARINGÁ,58238,MEIO AMBIENTE,Tecnológico,60,2272,Anual,,696577,Pólo de xerém,Estrada da Paca,s/nº,Caixa Postal 65,São Cristovão,4128104,Umuarama,PR
UFCA,UNIVERSIDADE FEDERAL DO CARIRI,1285085,HISTÓRIA,Bacharelado,50,2440,Semestral,,1082176,Unidade Universitária de Aquidauana,R. Raimunda Pereira de Melo,1010,,Centro,2305407,Icó,CE
UNIFEI,UNIVERSIDADE FEDERAL DE ITAJUBÁ - UNIFEI,1126131,ENGENHARIA MECÂNICA AERONÁUTICA,Bacharelado,30,3834,Semestral,10,1033524,Faculdade de Ciencias Humanas e Sociais Aplicadas do Cabo,Avenida BPS,1303,Campus Professor José Rodrigues Seabra,Pinheirinho,3132404,Itajubá,MG
UFR,Universidade Federal de Rondonópolis,1261971,MEDICINA,Bacharelado,40,7552,Semestral,12,1114668,São José dos Campos,Av Avenida dos Estudantes,5055,,Cidade Universitária,5107602,Rondonópolis,MT
UESB,UNIVERSIDADE ESTADUAL DO SUDOESTE DA BAHIA,20262,CIÊNCIAS BIOLÓGICAS,Licenciatura,40,4055,Semestral,,658033,Núcleo de Ensino Superior da UEA em Atalaia do Norte,Estrada do Bem Querer - KM 04,S/N,,Zona Rural,2933307,Vitória da Conquista,BA
UNEMAT,Universidade do Estado de Mato Grosso Carlos Alberto Reyes Maldonado - UNEMAT,114113,LETRAS,Licenciatura,50,3360,Semestral,,6201,Campus Avançado Profª Maria Elisa de Albuquerque Maia,Avenida 9 de maio,309,Sala 01,Centro,5105150,Juína,MT
UFTM,UNIVERSIDADE FEDERAL DO TRIÂNGULO MINEIRO,1285020,QUÍMICA,Licenciatura,50,3200,Semestral,,1123179,Núcleo Avançado de Educação Superior de Nova Cruz,Avenida Antônio Baiano,150,Campus Universitário de Iturama,Cidade Nova,3134400,Iturama,MG
FAC-FITO,FACULDADE DE CIÊNCIAS DA FUNDAÇÃO INSTITUTO TECNOLÓGICO DE OSASCO,45184,COMUNICAÇÃO SOCIAL,Bacharelado,100,3162,Anual,,1331,Faculdade de Farmácia - Campus da Saúde,RUA ANGÉLICA,100,,JD. DAS FLORES,3534401,Osasco,SP
UEM,UNIVERSIDADE ESTADUAL DE MARINGÁ,108090,LETRAS - PORTUGUÊS E INGLÊS,Licenciatura,40,4191,Anual,,657707,CAMPUS CANELA - Escola de Nutrição,Avenida Colombo,5790,Campus Universitário,Zona 7,4115200,Maringá,PR
UNIPAMPA,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PAMPA - UNIPAMPA,1188933,DIREITO,Bacharelado,50,3870,Semestral,10,34321,Hospital de Clínicas da UFTM (HC),Rua Barão do Triunfo,1048,,Centro,4317103,Santana do Livramento,RS
UTFPR,UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ,1152636,CIÊNCIA DA COMPUTAÇÃO,Bacharelado,88,3595,Semestral,,105993,Unidade Acadêmica de Pinheiro,Avenida Brasil,4.232,,Parque Independência,4115804,Medianeira,PR
UFS,UNIVERSIDADE FEDERAL DE SERGIPE,1108153,MEDICINA,Bacharelado,60,9315,Anual,6,1050794,CÂMPUS SANTA HELENA,Rua Padre Álvares Pitangueira,S/N,,Centro,2803500,Lagarto,SE
UFU,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,111378,ARTES VISUAIS,Licenciatura,40,3215,Semestral,9,1005524,Sento Sé,Avenida João Naves de Ávila,2121,,Santa Mônica,3170206,Uberlândia,MG
UFGD,FUNDAÇÃO UNIVERSIDADE FEDERAL DA GRANDE DOURADOS,121336,ARTES CÊNICAS,Licenciatura,30,2910,Semestral,,25872,Nova Madre de Deus,Rodovia Dourados - Itahum,km 12,,Cidade Universitária,5003702,Dourados,MS
UVA,UNIVERSIDADE ESTADUAL VALE DO ACARAÚ,122128,PROCESSOS GERENCIAIS,Tecnológico,50,2000,Semestral,,697263,Campus V-Brejões-PARFOR,AVENIDA DA UNIVERSIDADE,850,,BETÁNIA,2312908,Sobral,CE
UNIPAMPA,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PAMPA - UNIPAMPA,1103698,CIÊNCIAS DA NATUREZA,Licenciatura,50,3470,Semestral,,34381,REGIONAL GOIÂNIA - CAMPUS APARECIDA DE GOIÂNIA,Rod. BR 472 KM 592,s/n,,distrito,4322400,Uruguaiana,RS
UEMA,UNIVERSIDADE ESTADUAL DO MARANHÃO,1212397,LETRAS - INGLÊS,Licenciatura,10,3135,Semestral,,1061502,Edifício Ventura,Rua Raimundo Honorio,s/n,,Caminho Grande,2105401,Itapecuru Mirim,MA
UNIOESTE,UNIVERSIDADE ESTADUAL DO OESTE DO PARANÁ,70829,LETRAS - ITALIANO,Licenciatura,16,3396,Anual,,550,NÚCLEO PEDAGÓGICO DE LUCAS DO RIO VERDE,RUA UNIVERSITÁRIA,1619,,JARDIM UNIVERSITÁRIO,4104808,Cascavel,PR
UNB,UNIVERSIDADE DE BRASÍLIA,26030,FÍSICA,Bacharelado,72,2640,Semestral,8,4229,Campus Comunicação,Campus Universitário Darcy Ribeiro,s/n,,Asa Norte,5300108,Brasília,DF
UFCG,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE,1150096,AGROECOLOGIA,Tecnológico,50,2610,Semestral,7,1046793,CAMPUS MAZAGÃO,Rua Luiz Grande,S/N,,Frei Damião,2516300,Sumé,PB
IFG,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,Núcleo de Interiorização de Plácido de Castro,,,,,,,
UNICAMP,UNIVERSIDADE ESTADUAL DE CAMPINAS,2706,TECNOLOGIA SANITÁRIA,Tecnológico,80,2175,Semestral,,1052271,Unidade Mirassol (MIR),Rua Paschoal Marmo,1888,,Jardim Nova Itália,3526902,Limeira,SP
USP,UNIVERSIDADE DE SÃO PAULO,2921,MATEMÁTICA,Licenciatura,150,3375,Semestral,,1075940,Centro de Estudos Superiores de Itapecuru Mirim.,Rua do Matão,1010,Instituto de Matemática e Estatística - IME,Butantã,3550308,São Paulo,SP
IFMG,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,UNIDADE  - PETRÓPOLIS - QUITANDINHA,,,,,,,
USP,UNIVERSIDADE DE SÃO PAULO,60188,INFORMÁTICA BIOMÉDICA,Bacharelado,20,3660,Semestral,8,1078743,Unidade de Leopoldina,Av. Bandeirantes,3900,Faculdade de Medicina de Ribeirão Preto - USP,Vila Monte Alegre,3543402,Ribeirão Preto,SP
UFT,FUNDAÇÃO UNIVERSIDADE FEDERAL DO TOCANTINS,1100878,FÍSICA,Licenciatura,60,2835,Semestral,,1075943,BOM JESUS,Avenida Paraguai,s/n,Esquina com a Rua Uxiramas,Bairro da Cimba,1702109,Araguaína,TO
IFRS,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,COMPLEXO SANTA AMÉLIA,,,,,,,
IFSP,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,Fatec-Mauá,,,,,,,
UEPB,UNIVERSIDADE ESTADUAL DA PARAÍBA,11608,FISIOTERAPIA,Bacharelado,80,5480,Semestral,10,826,Campus de Pinhalzinho,Avenida das Baraúnas,351,,Bodocongó,2504009,Campina Grande,PB
UNEB,UNIVERSIDADE DO ESTADO DA BAHIA,68576,LETRAS - LÍNGUA PORTUGUESA,Licenciatura,40,3225,Semestral,,1051334,Escola Municipal Padre Antônio Tenente Haver,Rua João Guimarães,S/N,,São Francisco,2933604,Xique-Xique,BA
UFFS,UNIVERSIDADE FEDERAL DA FRONTEIRA SUL,1572636,PEDAGOGIA,Licenciatura,20,3420,Semestral,,1060444,CÂMPUS GOIÂNIA - LARANJEIRAS,Avenida Edmundo Gaievski,1000,,Rodovia Estadual,4121406,Realeza,PR
UEPB,UNIVERSIDADE ESTADUAL DA PARAÍBA,114053,COMPUTAÇÃO,Licenciatura,128,2875,Semestral,8,27852,CÂMPUS IPAMERI,Rua 05 de Agosto,s/n,,Belo Horizonte,2510808,Patos,PB
IFSEMG,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,IMESSM,,,,,,,
UFPI,UNIVERSIDADE FEDERAL DO PIAUÍ,33221,PEDAGOGIA,Licenciatura,50,3290,Semestral,10,1002563,Polo UAB Socorro Carvalho,R. CÍCERO DUARTE,905,,JUNCO,2208007,Picos,PI
IFSP,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,Unidade Dispersa - Direito,,,,,,,
IFES,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,Unidade Universitária de Coxim,,,,,,,
UESPI,UNIVERSIDADE ESTADUAL DO PIAUÍ,19147,HISTÓRIA,Licenciatura,28,2505,Semestral,,765,Núcleo Pedagógico de Itiquira,BR 343,1281,,CAMPO VELHO,2203909,Floriano,PI
UFPE,UNIVERSIDADE FEDERAL DE PERNAMBUCO,1591280,INTERDISCIPLINAR EM CIÊNCIA E TECNOLOGIA,Bacharelado,40,2470,Semestral,6,1153,Campus III -  (Curso de Educação Física),Av. Prof. Moraes Rego,1.235,,Cidade Universitária,2611606,Recife,PE
FATEC-AM,FACULDADE DE TECNOLOGIA DE AMERICANA,1159626,SEGURANÇA DA INFORMAÇÃO,Tecnológico,160,2800,Semestral,,1051386,POLO  DE JOSÉ DE FREITAS,Rua Emílio de Menezes,s/n,,Vila Amorim,3501608,Americana,SP
IFB,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,CIEP Municipalizado 465 - Dr. Amilcar Pereira da Silva,,,,,,,
UNILA,UNIVERSIDADE FEDERAL DA INTEGRAÇÃO LATINO-AMERICANA,1313255,BIOTECNOLOGIA,Bacharelado,50,3839,Semestral,10,1071745,Campus - Canaã dos Carajás,Avenida Tarquínio Joslin dos Santos,1.000,UNILA-JARDIM UNIVERSITÁRIO,Jardim Universitário,4108304,Foz do Iguaçu,PR
FURB,UNIVERSIDADE REGIONAL DE BLUMENAU,1495636,FÍSICA,Licenciatura,35,3225,Semestral,,1041245,Núcleo Avançado de Educação Superior de João Câmara,Rua Antonio da Veiga,140,,Victor Konder,4202404,Blumenau,SC
UNIFAP,UNIVERSIDADE FEDERAL DO AMAPÁ,70406,HISTÓRIA,Licenciatura,40,3000,Semestral,,1314,Campus VI,Av. Tancreto Neves,S/N,,Agrestes,1600279,Laranjal do Jari,AP
UEG,UNIVERSIDADE ESTADUAL DE GOIÁS,35095,QUÍMICA,Licenciatura,60,3225,Semestral,8,697025,Unidade de Santa Cruz do Sul,Rodovia BR-153,,,,,,
UFPA,UNIVERSIDADE FEDERAL DO PARÁ,12116,HISTÓRIA,Licenciatura,0,2288,Semestral,,258,Campus de Sorocaba - Instituto de Ciência e Tecnologia,13ª Rua,S/Nº,,Umirizal,1507904,Soure,PA
IFSP,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,Campus das Ciências Sociais,,,,,,,
UFPB,UNIVERSIDADE FEDERAL DA PARAÍBA,13457,CIÊNCIAS AGRÁRIAS,Licenciatura,50,3075,Semestral,8,775,Campus VII/Itiúba,,,,,,,
IFCE,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,Instituto Educacional Prof. Olga Portela,,,,,,,
UFF,UNIVERSIDADE FEDERAL FLUMINENSE,1300475,ENGENHARIA DE PRODUÇÃO,Bacharelado,50,3860,Semestral,10,1054845,Campus Glória de Dourados-MS,RUA JOÃO JAZBIK,S/N,,AEROPORTO,3304706,Santo Antônio de Pádua,RJ
UFG,UNIVERSIDADE FEDERAL DE GOIÁS,1304557,MATEMÁTICA,Licenciatura,30,2808,Semestral,,106560,CAMPUS UNIVERSITÁRIO DE ANANINDEUA,RODOVIA GOIÂNIA NERÓPOLIS,KM 12,Prédio da Reitoria,Campus Samambaia,5208707,Goiânia,GO
UERGS,UNIVERSIDADE ESTADUAL DO RIO GRANDE DO SUL,1366556,ADMINISTRAÇÃO,Bacharelado,40,3060,Anual,,2939,Campus Mallet,Rua Oscar Matzembacher,475,,Vila Borges,4321105,Tapes,RS
UFVJM,UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI,1270504,ENGENHARIA METALÚRGICA,Bacharelado,80,3880,Semestral,10,1060199,Unidade Descentralizada de Missão Velha,Avenida Um,4.050,Campus Janaúba,Cidade Universitária,3135100,Janaúba,MG
UEPB,UNIVERSIDADE ESTADUAL DA PARAÍBA,311593,CIÊNCIAS BIOLÓGICAS,Bacharelado,80,3201,Anual,4,826,Unidade de Cidreira,Avenida das Baraúnas,351,,Bodocongó,2504009,Campina Grande,PB
UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,1278882,EDUCAÇÃO DO CAMPO - CIÊNCIAS DA NATUREZA,Licenciatura,120,3450,Semestral,8,1062956,Campus Murupu,RS 030    KM 92,,,3º Distrito Emboaba,4321600,Tramandaí,RS
UEPA,UNIVERSIDADE DO ESTADO DO PARÁ,1487878,QUÍMICA,Licenciatura,40,4040,Semestral,,1755,Instituto de Educação Jair Siqueira Bittencourt,Avenida Hiléia,S/N,Agrópolis INCRA,Amapá,1504208,Marabá,PA
USP,UNIVERSIDADE DE SÃO PAULO,5000853,ENFERMAGEM,Bacharelado,50,4575,Semestral,,1079570,Campus XXII - Euclides da Cunha,Av. Bandeirantes,3.900,Escola de Enfermagem de Ribeirão Preto - USP,Vila Monte Alegre,3543402,Ribeirão Preto,SP
UFU,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,1114400,ENGENHARIA AERONÁUTICA,Bacharelado,40,4215,Semestral,10,1096620,CAMPUS FEDERAÇÃO/ONDINA - Escola de Medicina Veterinária,Rodovia BR-050,KM 78,Campus Glória,São Jorge,3170206,Uberlândia,MG
IFSC,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,Núcleo Universitário - Porto Acre,,,,,,,
IMES CATANDUVA,INSTITUTO MUNICIPAL DE ENSINO SUPERIOR DE CATANDUVA,30880,CIÊNCIAS BIOLÓGICAS,Licenciatura,80,3200,Anual,,1049881,CÂMPUS CERES,Av. Daniel Dalto S/N,S/N,Rodovia Washington Luis SP 310 - KM 382,Rural,3511102,Catanduva,SP
UFFS,UNIVERSIDADE FEDERAL DA FRONTEIRA SUL,1419770,PEDAGOGIA,Licenciatura,50,3435,Semestral,,1049556,CÂMPUS CALDAS NOVAS,Rodovia BR 158,,,,,,
UFPEL,UNIVERSIDADE FEDERAL DE PELOTAS,113649,VITICULTURA E ENOLOGIA,Tecnológico,30,2881,Semestral,6,1032256,Unidade Curvelo,Rua Gomes Carneiro,1,,Centro,4314407,Pelotas,RS
UESPI,UNIVERSIDADE ESTADUAL DO PIAUÍ,1327244,PEDAGOGIA,Licenciatura,40,2875,Semestral,4,154413,Núcleo de Ensino Superior da UEA em Caapiranga,RUA DANIEL DOURADO GUERRA,S/N,,NOVA CURIMATÁ,2203206,Curimatá,PI
UEMA,UNIVERSIDADE ESTADUAL DO MARANHÃO,1212410,CIêNCIAS - FíSICA,Licenciatura,40,3375,Semestral,,1061512,CAMPUS - UNIÃO DA VITÓRIA - SÃO BASÍLIO MAGNO,Av. Manajós,s/n,,São Bento,2108009,Pastos Bons,MA
UFRJ,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,23972,COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA,Bacharelado,62,2880,Semestral,8,971,FACULDADE SENAC CRICIÚMA,Av. Pasteur,250,PRAIA VERMELHA,Praia Vermelha,3304557,Rio de Janeiro,RJ
UNB,UNIVERSIDADE DE BRASÍLIA,31381,COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA,Bacharelado,44,2790,Semestral,8,4229,Núcleo de Brejo Grande do Araguaia,Campus Universitário Darcy Ribeiro,s/n,,Asa Norte,5300108,Brasília,DF
UFOPA,UNIVERSIDADE FEDERAL DO OESTE DO PARÁ,1285960,INTERDISCIPLINAR EM CIÊNCIAS AGRÁRIAS - BI/LI,Bacharelado,240,2500,Semestral,6,1048762,Núcleo de Ensino Superior  da UEA em Urucará,Avenida Vera Paz,s/n,Unidade Tapajós,Salé,1506807,Santarém,PA
UEMG,UNIVERSIDADE DO ESTADO DE MINAS GERAIS,11663,DIREITO,Bacharelado,120,3840,Semestral,,659497,CAMPUS DA BAIXADA FLUMINENSE,Rua Geraldo Moisés da Silva,s/n,,Campus Universitario,3134202,Ituiutaba,MG
UFPB,UNIVERSIDADE FEDERAL DA PARAÍBA,113617,ENGENHARIA DE MATERIAIS,Bacharelado,80,3615,Semestral,8,1001624,SANTO ANTONIO DO AMPARO,Cidade Universitária,s/n,Campus I,Castelo Branco,2507507,João Pessoa,PB
UFMA,UNIVERSIDADE FEDERAL DO MARANHÃO,1117691,CIÊNCIAS HUMANAS - HISTÓRIA,Licenciatura,60,3285,Semestral,,1006313,Campus VIII/Glória,Av. Dr. José Anselmo,2008,,São Benedito,2103307,Codó,MA
UEA,UNIVERSIDADE DO ESTADO DO AMAZONAS,1343823,LETRAS - LÍNGUA PORTUGUESA,Licenciatura,42,2800,Semestral,,600129,Unidade Amazônia,Avenida Adail de Sá,nº 424,,Centro,1301100,Careiro,AM
UFMA,UNIVERSIDADE FEDERAL DO MARANHÃO,1321235,LETRAS - LIBRAS,Licenciatura,40,3435,Semestral,,1006314,CÂMPUS ITUMBIARA,Avenida dos Portugueses,1966,,Vila Bacanga,2111300,São Luís,MA
UNICENTRO,UNIVERSIDADE ESTADUAL DO CENTRO OESTE,311171,QUÍMICA,Bacharelado,30,3173,Anual,4,25242,Núcleo de Tucumã,Alameda Élio Antonio Dalla Vecchia,838,,Vila Carli,4109401,Guarapuava,PR
UFRRJ,UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO,1078719,DIREITO,Bacharelado,45,3850,Semestral,,1055091,CAMPUS DOM JOSE VASQUEZ DIAZ (EAD) BOM JESUS,Avenida Prefeito Alberto da Silva Lavinas,1847,,Centro,3306008,Três Rios,RJ
IFMT,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,Núcleo de Mãe do Rio,,,,,,,
UNEB,UNIVERSIDADE DO ESTADO DA BAHIA,113387,MATEMÁTICA,Licenciatura,50,3000,Semestral,6,1051419,Campus IX/Formosa do Rio Preto,PRAÇA ALTO DO EDUCANDÁRIO,s/n,Ginásio Educandário São José,CENTRO,2907103,Carinhanha,BA
IFPR,INSTITUTO FEDERAL DE EDUCAÇÃO,,,,,,,,,CAMPUS UNIVERSITÁRIO DO MÉDIO ARAGUAIA (Luciara),,,,,,,
UFRJ,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,14330,ESTATÍSTICA,Bacharelado,15,2655,Semestral,8,657978,Campus Barbalha,Avenida Brigadeiro Trompowsky,s/n,Cidade Universitária,Ilha do Fundão,3304557,Rio de Janeiro,RJ
UFRN,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,12345,MEDICINA,Bacharelado,100,8332,Semestral,12,690191,Unidade Araxá,Rua General Cordeiro de Farias,s/n,CAMPUS UNIVERSITÁRIO,Petrópolis,2408102,Natal,RN
UERJ,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,11328,MATEMÁTICA,Licenciatura,80,3045,Semestral,,624,Unidade Acadêmica de Pindaré,Rua Doutor Francisco Portela,794,Patronato,São Gonçalo,3304904,São Gonçalo,RJ
UEA,UNIVERSIDADE DO ESTADO DO AMAZONAS,1315771,CONSTRUÇÃO NAVAL,Tecnológico,50,2810,Semestral,,2047,Polo UAB - NOVA FRIBURGO,Av.Mário Andreaza,S/N,,São Francisco,1301902,Itacoatiara,AM
UNICAMP,UNIVERSIDADE ESTADUAL DE CAMPINAS,2682,ESTATÍSTICA,Bacharelado,70,3045,Semestral,8,685816,Núcleo Pedagógico de Poconé,,,,,,,
